+--------------------------------------------------------------------------------------------------------------------------------------------------+
| key                                                                | types                                 | occurrences | percents              |
| images.2.sizes.100.h                                               | Number                                |        1509 |  37.70614692653673217 |
| images.2.sizes.100.w                                               | Number                                |        1509 |  37.70614692653673217 |
| images.2.sizes.400                                                 | Object                                |        1509 |  37.70614692653673217 |
| images.2.sizes.400.h                                               | Number                                |        1509 |  37.70614692653673217 |
| images.2.sizes.400.w                                               | Number                                |        1509 |  37.70614692653673217 |
| images.2.sizes.full                                                | Object                                |        1509 |  37.70614692653673217 |
| images.2.sizes.full.h                                              | Number                                |        1509 |  37.70614692653673217 |
| images.2.sizes.full.w                                              | Number                                |        1509 |  37.70614692653673217 |
| images.2.uploaded_t                                                | String (365),Number (1144)            |        1509 |  37.70614692653673217 |
| images.2.uploader                                                  | String                                |        1509 |  37.70614692653673217 |
| product_name_debug_tags                                            | Array                                 |        1445 |  36.10694652673662830 |
| allergens                                                          | String                                |        1199 |  29.96001999000499794 |
| lang_debug_tags                                                    | Array                                 |        1046 |  26.13693153423288251 |
| product_name_fr_debug_tags                                         | Array                                 |         988 |  24.68765617191404260 |
| product_quantity                                                   | Number                                |         937 |  23.41329335332333983 |
| nutrition_data_per_debug_tags                                      | Array                                 |         921 |  23.01349325337331209 |
| images.3                                                           | Object                                |         796 |  19.89005497251374166 |
| images.3.sizes                                                     | Object                                |         796 |  19.89005497251374166 |
| images.3.sizes.100                                                 | Object                                |         796 |  19.89005497251374166 |
| images.3.sizes.100.h                                               | Number                                |         796 |  19.89005497251374166 |
| images.3.sizes.100.w                                               | Number                                |         796 |  19.89005497251374166 |
| images.3.sizes.400                                                 | Object                                |         796 |  19.89005497251374166 |
| images.3.sizes.400.h                                               | Number                                |         796 |  19.89005497251374166 |
| images.3.sizes.400.w                                               | Number                                |         796 |  19.89005497251374166 |
| images.3.sizes.full                                                | Object                                |         796 |  19.89005497251374166 |
| images.3.sizes.full.h                                              | Number                                |         796 |  19.89005497251374166 |
| images.3.sizes.full.w                                              | Number                                |         796 |  19.89005497251374166 |
| images.3.uploaded_t                                                | String (200),Number (596)             |         796 |  19.89005497251374166 |
| images.3.uploader                                                  | String                                |         796 |  19.89005497251374166 |
| packaging                                                          | String                                |         748 |  18.69065467266366909 |
| packaging_tags                                                     | Array                                 |         748 |  18.69065467266366909 |
| packaging_debug_tags                                               | Array                                 |         699 |  17.46626686656671623 |
| categories_debug_tags                                              | Array                                 |         617 |  15.41729135432283826 |
| categories_hierarchy                                               | Array                                 |         617 |  15.41729135432283826 |
| categories_tags                                                    | Array                                 |         617 |  15.41729135432283826 |
| categories_prev_hierarchy                                          | Array                                 |         611 |  15.26736631684157963 |
| categories_prev_tags                                               | Array                                 |         611 |  15.26736631684157963 |
| images.ingredients_fr                                              | Object                                |         579 |  14.46776611694152948 |
